692 373 971 2011
1173 1483 1787 2708
1589 224 1682 1978
968 772 3145 648
2057 2682 2616 2832
422 3103 199 2299
2851 947 2974 2019
1663 878 842 1125
1813 2868 962 1638
2652 2246 846 66
1177 2632 2957 740
1965 349 1819 1039
2614 1001 1492 2592
1713 670 386 1196
1486 2054 2267 2690
1612 165 2401 3125
2048 1215 3161 1692
579 1873 1903 2569
778 2716 3107 3093
3055 181 1422 800
2366 898 1393 137
1572 2835 2712 1315
315 723 2089 2389
2503 2008 1098 1036
2465 259 564 849
81 2052 2253 1555
2153 1310 950 743
1906 1268 1365 1574
1610 2446 1008 2841
1455 176 63 1903
269 1694 352 1455
1985 2163 1750 881
2684 1701 2594 2027
2614 930 902 747
449 704 202 1676
444 2481 785 2065
1791 157 449 2280
545 673 268 213
137 981 885 2383
2040 509 2693 342
2968 137 413 2366
843 2877 2073 2801
1281 2512 1431 190
1375 2168 692 2787
2864 2607 1836 509
476 407 1363 2613
1487 2033 1738 2850
1902 1373 919 1961
1472 1191 663 1517
2959 119 973 1620
2179 2918 47 979
1624 1355 1340 616
1841 2877 1363 465
2331 450 1339 2443
350 74 76 156
1993 1189 1073 905
1603 1195 2148 1651
825 349 870 879
747 2173 911 427
1168 19 2504 463
1253 999 1144 2552
905 130 2792 1938
2452 1793 2838 2405
3045 2758 1151 2605
1694 2024 1428 2039
1449 885 1054 2972
821 1235 1468 126
2609 1106 1818 1701
2874 2078 2793 1449
2304 1556 2695 2236
3019 1137 1004 2754
225 1187 2776 1183
683 1381 1540 1594
2935 3158 294 349
2857 2308 635 985
2786 2615 1949 136
1995 86 2177 1143
2942 2229 1135 888
2761 1318 1982 1360
2593 1469 1394 2697
2115 2672 654 1763
2428 1876 1111 1024
2234 1696 2913 397
981 767 1427 1504
1555 1759 1294 2241
2165 2945 2032 1474
511 2652 1467 1363
1822 1296 419 186
731 980 1141 1891
971 1722 2910 1478
145 590 1754 1193
2243 747 1773 546
1102 1991 1584 2661
1123 35 1215 2527
1837 80 3 2079
1564 2741 2611 1195
1627 2297 1206 1468
2324 1116 540 2577
51 1621 2191 2542
3066 860 747 1816
105 1825 3111 1495
2052 2996 3106 614
559 1679 1813 1536
1694 1163 1679 1334
1225 1338 3086 2762
1900 2684 1979 2354
1365 348 131 1278
964 1916 1681 1439
1901 1828 1807 15
2682 700 3042 2155
1675 3028 861 2357
260 2233 916 2843
805 2356 499 988
2671 2300 505 2206
1035 239 2739 248
1970 1324 259 2392
2061 1659 807 840
913 1764 1389 3047
649 529 1397 2683
211 1428 2356 486
712 1164 1946 1790
407 343 25 149
254 361 1083 2854
429 21 980 1804
1932 2177 2211 202
1387 1785 437 26
46 895 1370 1831
2694 1348 463 2180
2589 2167 1705 1952
1266 1710 127 1843
1097 1054 204 574
434 853 419 2883
184 1832 835 2459
3115 1796 1517 920
1700 2703 3025 1076
2965 1875 1195 960
1127 532 1988 563
940 2062 949 1717
2679 676 1 1233
2699 1861 2520 456
95 2653 1358 40
1315 2874 534 1018
2658 473 2835 2461
1389 1609 1453 1584
2278 210 1323 1010
398 1067 1010 1949
1625 428 1306 2703
327 2333 479 682
69 1266 419 1904
36 2542 1752 1001
2492 1641 1499 925
2226 51 1428 663
269 338 2418 1744
2788 892 275 2708
571 890 971 2073
675 2177 2516 2072
592 1150 2846 949
1803 1116 3138 2250
1326 1903 2767 2086
2878 1232 715 2243
2675 2305 1430 2339
2060 2511 2392 438
1488 1639 1092 618
3150 1138 2223 1685
2265 1589 1438 424
1781 3079 1317 270
2641 191 2998 1122
2608 1238 1474 2007
1484 656 356 785
1708 1107 936 640
1967 2579 646 1153
495 2130 2973 1910
2054 1113 2165 353
3095 199 1417 2474
1274 1451 2320 877
2349 3061 1066 1158
1882 257 1467 1477
1172 1276 2755 2849
1309 1445 733 3118
2551 1474 2599 66
920 2456 2073 537
3144 1517 2822 2311
558 1716 2460 343
2223 2021 586 1080
2156 3070 2009 2215
1517 1189 2 2123
626 1877 2159 2635
1924 771 1817 1077
1820 1806 861 1968
105 1906 345 1136
1451 177 1450 2789
2994 109 1060 2460
1139 1483 2573 1809
1993 1945 922 901
2059 371 2500 1216
123 848 2701 1405
537 260 1881 2933
1890 2477 256 1487
2244 3062 2755 1152
36 2874 12 56
912 24 2356 405
