2335 2206 810 2505 2104
635 1431 195 2052 203
1375 712 605 2613 1391
1875 2426 276 2355 2222
1742 710 849 1444 465
2155 1295 3044 278 2886
2030 1002 2215 2132 2717
1472 2280 494 1240 704
2534 2314 2420 2028 2952
1790 629 1375 2579 2172
379 523 2634 1667 561
1964 2179 622 598 2431
2581 2560 1314 2078 2221
2568 1156 1628 1098 1421
1191 2451 1231 1022 1337
799 1562 205 67 521
2806 794 1266 2790 1769
923 1340 1764 2336 795
862 481 2306 1830 206
2119 2274 1804 1134 1833
2361 1314 1896 912 1316
1833 839 2018 2246 175
2528 412 200 849 1137
479 845 2652 2689 1823
735 769 648 2607 3031
735 780 25 2923 1061
476 722 2664 57 1979
707 642 3148 1696 488
3121 2110 63 1530 279
2468 1733 50 1783 136
565 14 403 1986 1868
1429 604 170 1499 807
949 2149 23 1990 1220
2565 2039 630 1248 2978
839 1297 950 1710 288
2428 178 2364 2174 1142
49 96 71 2072 1120
2196 2784 991 2821 1436
1117 815 2155 2348 1583
488 1037 2331 2614 453
1120 2 1279 875 2526
1603 1101 2436 1867 271
667 417 1409 585 1075
621 1700 951 2383 2109
2698 346 1992 2152 1349
2068 154 1294 1015 531
2519 1011 1710 1589 793
1257 2131 2358 2600 1762
1819 2642 919 767 427
720 819 576 572 719
719 720 1244 1121 265
1485 2486 1136 519 709
2857 2258 305 2507 1295
707 1921 728 1219 1282
1483 280 547 1075 890
1848 275 1077 1270 1505
503 1039 1419 1674 2262
2095 704 1824 1456 685
2117 1518 3009 2735 1544
1599 452 2175 546 2521
2091 264 653 2809 2897
2807 2047 1426 482 1487
2712 824 813 1827 2050
1811 811 2380 1138 2589
2813 360 1555 1211 598
892 1302 369 2422 2530
1503 1173 336 2594 2277
2425 3054 1579 2424 1284
1610 23 1845 3 1454
2978 2022 2460 61 691
2734 1937 2325 2294 1687
1232 119 2679 2196 964
982 700 1588 2053 980
2235 2255 630 1758 292
2950 2141 1514 3125 1825
2412 1328 2368 3083 1856
1633 1387 1608 73 983
877 406 629 928 2039
1488 2923 3021 2917 26
1681 2942 2014 1265 2838
557 527 640 816 2054
122 2520 1030 1688 1879
1431 1672 2450 1441 1472
2002 2597 1095 2006 1994
2411 3031 2152 1081 2212
414 1455 287 3147 1674
2313 127 963 329 563
341 1923 2350 1832 1972
175 1268 539 1090 1481
181 359 748 2107 1685
1680 21 1917 857 2229
1445 1436 2089 1362 1281
2501 2592 2827 3041 1371
2929 63 1409 719 2913
1352 1502 93 1853 1543
1829 1254 1156 1734 398
119 1166 2876 2976 314
1142 2889 2396 1173 904
1139 2659 238 243 2506
3004 2170 995 2547 1691
1832 902 277 2305 1363
2243 815 1953 1228 855
2270 1013 1135 2921 2863
242 1136 1623 297 1795
1313 1556 169 419 2471
312 1041 2398 481 2728
2874 1707 312 3106 1976
1721 2987 1544 2620 1966
2431 58 1207 1164 2290
1164 2276 27 1863 2975
345 8 2229 208 2060
1613 573 1929 2723 2695
363 233 942 407 354
2599 940 2742 536 1089
1693 2710 350 116 1699
454 2876 2974 1485 850
579 2170 2759 124 30
1924 1390 2361 1182 2602
1459 1682 1749 996 2127
1784 2075 2579 441 2423
1499 784 2727 2432 1869
205 1248 1680 2561 2311
2743 2440 3115 2553 3108
1606 2470 1597 214 820
1308 1961 2082 2612 2876
1815 503 2765 2254 1793
2012 1565 2358 474 2455
369 165 1748 1458 1976
2940 1363 1241 453 2947
1677 949 3125 1474 3010
488 1877 2792 1384 2340
2731 1678 957 2477 2612
44 2465 1033 1859 1952
2529 2622 3015 990 3157
1135 1265 2386 893 1375
334 991 1353 2061 1652
2362 764 2085 2921 2845
2499 1673 881 2367 1772
1148 1765 3071 210 1687
628 2964 2616 1856 764
174 1829 154 2295 1122
470 2356 2822 2993 2656
2130 2195 2193 2096 1681
591 2514 1482 362 2113
2252 2612 1831 191 823
2262 2754 1296 1550 2035
2317 1592 1054 1236 1655
1000 1811 1115 117 1364
